feature,importance
new_deaths,0.1530363651803137
new_cases_ma_3,0.10093170831426784
new_cases_ma_6,0.06787295308802077
new_deaths_lag_1,0.0640416335185076
rt_estimate_ma_6,0.044216942909315785
new_cases_lag_4,0.04112642362224394
weekly_cases_lag_4,0.03522507443521899
rt_estimate_ma_3,0.03234190348865049
biweekly_cases,0.03229773784924849
biweekly_cases_lag_4,0.029519966956048155
case_acceleration,0.029351608303457153
weekly_cases_external_ma_3,0.026913026889808754
biweekly_cases_lag_2,0.02570499620295301
weekly_cases_ma_3,0.025042076613890414
new_deaths_lag_2,0.023053006298756864
death_lag_ratio,0.0156888262689852
weekly_cases_external,0.015440754723114649
weekly_cases_external_lag_2,0.014719465543485242
weekly_cases_external_lag_1,0.01421624004550266
weekly_cases_ma_6,0.012606093888895503
new_cases_lag_2,0.011970707153924431
rt_estimate_lag_4,0.011909493743511397
biweekly_cases_ma_6,0.011632450116361093
biweekly_deaths_ma_3,0.010438777203535931
weekly_deaths_external_lag_2,0.010079787513800125
weekly_cases_external_ma_6,0.009701491307504171
weekly_cases,0.009010256588293384
biweekly_cases_ma_3,0.0077488477467403585
rt_estimate,0.007544323457647608
new_cases,0.007254013366383922
